Time [s],T_g [K],T_l [K],T_i [K],p_g [Pa],ml [kg],mv [kg],ma [kg]
5.013791700459543677e+01,1.164640475857884638e+02,7.737291979443061507e+01,7.845213757482019901e+01,2.818274839314309065e+05,2.950036735456949000e-01,8.503974626498303621e-04,6.109185312721706598e-05
5.020027759788473531e+01,1.164563845474307726e+02,7.737294229504328769e+01,7.845170361566647443e+01,2.818076361691304483e+05,2.950036794293910969e-01,8.503915789536596820e-04,6.109185312721706598e-05
5.026263819117403386e+01,1.164487234569329246e+02,7.737296478614463524e+01,7.845127012356826413e+01,2.817877933503412642e+05,2.950036853127959158e-01,8.503856955488431823e-04,6.109185312721706598e-05
5.032499878446333241e+01,1.164410643130020304e+02,7.737298726774345425e+01,7.845083709615930445e+01,2.817679554717994761e+05,2.950036911959096897e-01,8.503798124350595055e-04,6.109185312721706598e-05
5.038735937775263096e+01,1.164334071138557505e+02,7.737300973985180974e+01,7.845040453350759435e+01,2.817481225290030707e+05,2.950036970787328627e-01,8.503739296118625023e-04,6.109185312721706598e-05
5.044971997104192241e+01,1.164257518579146478e+02,7.737303220248044511e+01,7.844997243408479903e+01,2.817282945179628441e+05,2.950037029612658790e-01,8.503680470788570894e-04,6.109185312721706598e-05
5.051208056433122096e+01,1.164180985442910981e+02,7.737305465563541418e+01,7.844954079644858780e+01,2.817084714364398387e+05,2.950037088435089050e-01,8.503621648358214392e-04,6.109185312721706598e-05
5.057444115762051950e+01,1.164104471713774700e+02,7.737307709932760247e+01,7.844910961940307459e+01,2.816886532803733135e+05,2.950037147254623848e-01,8.503562828823524452e-04,6.109185312721706598e-05
5.063680175090981805e+01,1.164027977375196912e+02,7.737309953356826497e+01,7.844867890190664639e+01,2.816688400455843075e+05,2.950037206071267071e-01,8.503504012180346412e-04,6.109185312721706598e-05
5.069916234419911660e+01,1.163951502415199570e+02,7.737312195836553030e+01,7.844824864233736150e+01,2.816490317290492821e+05,2.950037264885021493e-01,8.503445198425695463e-04,6.109185312721706598e-05
5.076152293748841515e+01,1.163875046815629020e+02,7.737314437373169085e+01,7.844781883989104188e+01,2.816292283261801349e+05,2.950037323695892111e-01,8.503386387554978925e-04,6.109185312721706598e-05
5.082388353077771370e+01,1.163798610564810758e+02,7.737316677967471890e+01,7.844738949320932875e+01,2.816094298340298701e+05,2.950037382503881700e-01,8.503327579565280294e-04,6.109185312721706598e-05
5.088624412406701225e+01,1.163722193649095971e+02,7.737318917620386571e+01,7.844696060125514236e+01,2.815896362491506152e+05,2.950037441308993591e-01,8.503268774453157227e-04,6.109185312721706598e-05
5.094860471735631080e+01,1.163645796053519348e+02,7.737321156332929206e+01,7.844653216277762908e+01,2.815698475677612005e+05,2.950037500111231670e-01,8.503209972214823692e-04,6.109185312721706598e-05
5.101096531064560935e+01,1.163569417763685152e+02,7.737323394106080343e+01,7.844610417593048624e+01,2.815500637862244621e+05,2.950037558910599822e-01,8.503151172846648695e-04,6.109185312721706598e-05
5.107332590393490079e+01,1.163493058765538706e+02,7.737325630940789267e+01,7.844567664069603552e+01,2.815302849009894999e+05,2.950037617707101378e-01,8.503092376345081473e-04,6.109185312721706598e-05
5.113568649722419934e+01,1.163416719043042491e+02,7.737327866838147372e+01,7.844524955510325981e+01,2.815105109080031980e+05,2.950037676500740225e-01,8.503033582706058437e-04,6.109185312721706598e-05
5.119804709051349789e+01,1.163340398585095983e+02,7.737330101798907833e+01,7.844482291811729624e+01,2.814907418044621591e+05,2.950037735291519692e-01,8.502974791926775841e-04,6.109185312721706598e-05
5.126040768380279644e+01,1.163264097374928951e+02,7.737332335824210361e+01,7.844439672854727519e+01,2.814709775861272938e+05,2.950037794079443665e-01,8.502916004002963012e-04,6.109185312721706598e-05
5.132276827709209499e+01,1.163187815398209040e+02,7.737334568915024136e+01,7.844397098507795363e+01,2.814512182493759901e+05,2.950037852864515475e-01,8.502857218930991124e-04,6.109185312721706598e-05
5.138512887038139354e+01,1.163111552647873310e+02,7.737336801071833747e+01,7.844354568697472985e+01,2.814314637924273266e+05,2.950037911646737343e-01,8.502798436709076667e-04,6.109185312721706598e-05
5.144748946367069209e+01,1.163035309102841381e+02,7.737339032296067387e+01,7.844312083267851676e+01,2.814117142099498305e+05,2.950037970426114819e-01,8.502739657331844165e-04,6.109185312721706598e-05
