Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
66.542	0.022555	853.17	0.0011721	-143.96	-143.93	2.5304	1.1528	2.0063	960.69	-0.39301	0.00025926	0.16962	0.011416	1.1588	0.86293	48.511	67.974	5.7150	0.75347	1.0682	164.88	36.423	4.6223e-06	0.0064787
66.643	0.022933	852.74	0.0011727	-143.76	-143.73	2.5334	1.1521	2.0065	959.66	-0.39265	0.00025797	0.16939	0.011392	1.1767	0.84984	48.578	68.068	5.7115	0.75359	1.0686	164.99	36.308	4.6298e-06	0.0064880
66.745	0.023316	852.32	0.0011733	-143.55	-143.53	2.5365	1.1514	2.0068	958.63	-0.39228	0.00025668	0.16916	0.011367	1.1947	0.83700	48.646	68.162	5.7081	0.75372	1.0689	165.10	36.192	4.6373e-06	0.0064973
66.847	0.023705	851.89	0.0011739	-143.35	-143.32	2.5395	1.1507	2.0070	957.60	-0.39191	0.00025540	0.16893	0.011343	1.2130	0.82439	48.714	68.255	5.7047	0.75384	1.0693	165.21	36.078	4.6449e-06	0.0065066
66.948	0.024098	851.47	0.0011744	-143.15	-143.12	2.5426	1.1501	2.0072	956.57	-0.39154	0.00025413	0.16870	0.011318	1.2315	0.81201	48.781	68.349	5.7012	0.75396	1.0696	165.31	35.964	4.6524e-06	0.0065159
67.050	0.024497	851.04	0.0011750	-142.94	-142.91	2.5456	1.1494	2.0074	955.54	-0.39117	0.00025287	0.16847	0.011294	1.2502	0.79985	48.849	68.442	5.6978	0.75408	1.0700	165.42	35.851	4.6599e-06	0.0065252
67.152	0.024901	850.61	0.0011756	-142.74	-142.71	2.5487	1.1487	2.0076	954.51	-0.39079	0.00025162	0.16824	0.011269	1.2692	0.78792	48.916	68.536	5.6945	0.75421	1.0703	165.53	35.739	4.6675e-06	0.0065346
67.253	0.025310	850.18	0.0011762	-142.53	-142.50	2.5517	1.1480	2.0078	953.48	-0.39042	0.00025038	0.16801	0.011245	1.2883	0.77621	48.983	68.629	5.6911	0.75434	1.0707	165.64	35.627	4.6750e-06	0.0065439
67.355	0.025724	849.75	0.0011768	-142.33	-142.30	2.5547	1.1473	2.0081	952.45	-0.39004	0.00024914	0.16778	0.011221	1.3077	0.76471	49.050	68.722	5.6877	0.75446	1.0710	165.74	35.516	4.6825e-06	0.0065532
67.457	0.026144	849.33	0.0011774	-142.13	-142.10	2.5578	1.1466	2.0083	951.42	-0.38966	0.00024792	0.16755	0.011196	1.3273	0.75342	49.117	68.815	5.6844	0.75459	1.0714	165.85	35.405	4.6901e-06	0.0065625
67.558	0.026569	848.90	0.0011780	-141.92	-141.89	2.5608	1.1459	2.0085	950.39	-0.38928	0.00024670	0.16732	0.011172	1.3471	0.74233	49.185	68.908	5.6810	0.75472	1.0718	165.95	35.295	4.6976e-06	0.0065718
67.660	0.027000	848.47	0.0011786	-141.72	-141.69	2.5638	1.1452	2.0087	949.36	-0.38889	0.00024549	0.16709	0.011147	1.3672	0.73144	49.251	69.000	5.6777	0.75485	1.0722	166.06	35.186	4.7052e-06	0.0065812
67.762	0.027436	848.04	0.0011792	-141.51	-141.48	2.5668	1.1445	2.0090	948.34	-0.38851	0.00024429	0.16686	0.011123	1.3874	0.72075	49.318	69.093	5.6744	0.75498	1.0725	166.17	35.077	4.7127e-06	0.0065905
67.863	0.027878	847.61	0.0011798	-141.31	-141.28	2.5698	1.1439	2.0092	947.31	-0.38812	0.00024310	0.16663	0.011099	1.4080	0.71025	49.385	69.186	5.6711	0.75511	1.0729	166.27	34.969	4.7202e-06	0.0065998
67.965	0.028326	847.18	0.0011804	-141.11	-141.07	2.5728	1.1432	2.0094	946.28	-0.38773	0.00024192	0.16640	0.011074	1.4287	0.69993	49.452	69.278	5.6678	0.75524	1.0733	166.38	34.862	4.7278e-06	0.0066092
68.067	0.028779	846.75	0.0011810	-140.90	-140.87	2.5758	1.1425	2.0097	945.25	-0.38734	0.00024074	0.16617	0.011050	1.4497	0.68980	49.518	69.370	5.6645	0.75537	1.0737	166.48	34.755	4.7353e-06	0.0066185
68.168	0.029238	846.32	0.0011816	-140.70	-140.66	2.5788	1.1418	2.0099	944.22	-0.38694	0.00023958	0.16594	0.011026	1.4709	0.67985	49.585	69.462	5.6613	0.75550	1.0741	166.59	34.649	4.7429e-06	0.0066278
68.270	0.029702	845.89	0.0011822	-140.49	-140.46	2.5818	1.1411	2.0101	943.20	-0.38654	0.00023842	0.16572	0.011001	1.4924	0.67007	49.651	69.554	5.6580	0.75564	1.0745	166.69	34.543	4.7504e-06	0.0066372
68.372	0.030173	845.46	0.0011828	-140.29	-140.25	2.5848	1.1404	2.0104	942.17	-0.38615	0.00023727	0.16549	0.010977	1.5141	0.66047	49.718	69.646	5.6548	0.75577	1.0749	166.79	34.439	4.7580e-06	0.0066465
68.473	0.030649	845.03	0.0011834	-140.09	-140.05	2.5878	1.1398	2.0106	941.14	-0.38575	0.00023613	0.16526	0.010953	1.5360	0.65103	49.784	69.738	5.6516	0.75591	1.0752	166.90	34.334	4.7655e-06	0.0066559
68.575	0.031132	844.60	0.0011840	-139.88	-139.84	2.5908	1.1391	2.0109	940.12	-0.38534	0.00023499	0.16503	0.010928	1.5582	0.64176	49.850	69.829	5.6484	0.75604	1.0756	167.00	34.231	4.7731e-06	0.0066652
68.677	0.031620	844.16	0.0011846	-139.68	-139.64	2.5938	1.1384	2.0111	939.09	-0.38494	0.00023386	0.16480	0.010904	1.5807	0.63265	49.916	69.921	5.6452	0.75618	1.0761	167.11	34.127	4.7807e-06	0.0066746
68.778	0.032114	843.73	0.0011852	-139.47	-139.43	2.5967	1.1377	2.0113	938.06	-0.38453	0.00023275	0.16457	0.010880	1.6033	0.62370	49.982	70.012	5.6420	0.75632	1.0765	167.21	34.025	4.7882e-06	0.0066840
68.880	0.032614	843.30	0.0011858	-139.27	-139.23	2.5997	1.1371	2.0116	937.04	-0.38412	0.00023163	0.16435	0.010856	1.6263	0.61490	50.048	70.103	5.6388	0.75646	1.0769	167.31	33.923	4.7958e-06	0.0066933
68.982	0.033121	842.87	0.0011864	-139.06	-139.02	2.6027	1.1364	2.0118	936.01	-0.38371	0.00023053	0.16412	0.010831	1.6495	0.60626	50.114	70.194	5.6356	0.75660	1.0773	167.41	33.821	4.8033e-06	0.0067027
69.083	0.033634	842.43	0.0011870	-138.86	-138.82	2.6056	1.1357	2.0121	934.99	-0.38330	0.00022943	0.16389	0.010807	1.6729	0.59777	50.180	70.285	5.6325	0.75674	1.0777	167.52	33.721	4.8109e-06	0.0067121
69.185	0.034153	842.00	0.0011876	-138.66	-138.61	2.6086	1.1350	2.0124	933.96	-0.38288	0.00022835	0.16366	0.010783	1.6966	0.58942	50.245	70.376	5.6293	0.75688	1.0781	167.62	33.620	4.8185e-06	0.0067214
69.287	0.034678	841.57	0.0011883	-138.45	-138.41	2.6115	1.1344	2.0126	932.93	-0.38246	0.00022726	0.16343	0.010759	1.7205	0.58121	50.311	70.466	5.6262	0.75702	1.0785	167.72	33.521	4.8260e-06	0.0067308
69.388	0.035210	841.13	0.0011889	-138.25	-138.20	2.6145	1.1337	2.0129	931.91	-0.38204	0.00022619	0.16321	0.010735	1.7448	0.57315	50.377	70.557	5.6231	0.75717	1.0790	167.82	33.422	4.8336e-06	0.0067402
69.490	0.035748	840.70	0.0011895	-138.04	-138.00	2.6174	1.1330	2.0131	930.88	-0.38162	0.00022512	0.16298	0.010710	1.7692	0.56522	50.442	70.647	5.6200	0.75731	1.0794	167.92	33.323	4.8412e-06	0.0067496
69.592	0.036292	840.26	0.0011901	-137.84	-137.79	2.6204	1.1323	2.0134	929.86	-0.38120	0.00022407	0.16275	0.010686	1.7940	0.55743	50.507	70.737	5.6169	0.75746	1.0798	168.02	33.225	4.8488e-06	0.0067590
69.693	0.036843	839.83	0.0011907	-137.63	-137.59	2.6233	1.1317	2.0137	928.83	-0.38077	0.00022301	0.16253	0.010662	1.8190	0.54976	50.572	70.827	5.6138	0.75760	1.0803	168.12	33.127	4.8564e-06	0.0067684
69.795	0.037400	839.39	0.0011913	-137.43	-137.38	2.6262	1.1310	2.0139	927.81	-0.38034	0.00022197	0.16230	0.010638	1.8442	0.54223	50.638	70.917	5.6107	0.75775	1.0807	168.22	33.031	4.8639e-06	0.0067778
69.897	0.037965	838.96	0.0011920	-137.22	-137.18	2.6292	1.1303	2.0142	926.78	-0.37991	0.00022093	0.16207	0.010614	1.8698	0.53483	50.703	71.007	5.6076	0.75790	1.0811	168.32	32.934	4.8715e-06	0.0067872
69.998	0.038535	838.52	0.0011926	-137.02	-136.97	2.6321	1.1297	2.0145	925.76	-0.37948	0.00021990	0.16185	0.010590	1.8956	0.52755	50.768	71.097	5.6046	0.75805	1.0816	168.42	32.838	4.8791e-06	0.0067966
70.100	0.039113	838.09	0.0011932	-136.82	-136.77	2.6350	1.1290	2.0148	924.73	-0.37904	0.00021888	0.16162	0.010566	1.9216	0.52039	50.832	71.186	5.6015	0.75820	1.0820	168.52	32.743	4.8867e-06	0.0068060
70.202	0.039697	837.65	0.0011938	-136.61	-136.56	2.6379	1.1283	2.0150	923.71	-0.37860	0.00021786	0.16139	0.010541	1.9480	0.51335	50.897	71.276	5.5985	0.75835	1.0825	168.62	32.648	4.8943e-06	0.0068155
70.303	0.040288	837.21	0.0011944	-136.41	-136.36	2.6408	1.1277	2.0153	922.68	-0.37816	0.00021685	0.16117	0.010517	1.9746	0.50642	50.962	71.365	5.5955	0.75850	1.0829	168.72	32.554	4.9019e-06	0.0068249
70.405	0.040886	836.78	0.0011951	-136.20	-136.15	2.6437	1.1270	2.0156	921.66	-0.37772	0.00021585	0.16094	0.010493	2.0015	0.49962	51.026	71.454	5.5925	0.75865	1.0834	168.82	32.460	4.9095e-06	0.0068344
70.507	0.041491	836.34	0.0011957	-136.00	-135.95	2.6466	1.1263	2.0159	920.63	-0.37728	0.00021485	0.16072	0.010469	2.0287	0.49292	51.091	71.543	5.5895	0.75880	1.0839	168.91	32.367	4.9171e-06	0.0068438
70.608	0.042103	835.90	0.0011963	-135.79	-135.74	2.6495	1.1257	2.0162	919.61	-0.37683	0.00021386	0.16049	0.010445	2.0562	0.48634	51.155	71.632	5.5865	0.75896	1.0843	169.01	32.274	4.9247e-06	0.0068533
70.710	0.042722	835.46	0.0011969	-135.59	-135.54	2.6524	1.1250	2.0165	918.58	-0.37638	0.00021288	0.16026	0.010421	2.0839	0.47986	51.219	71.720	5.5835	0.75911	1.0848	169.11	32.182	4.9323e-06	0.0068627
