Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
15.300	0.014964	75.882	0.013178	-44.343	-44.146	-2.4104	5.2600	7.4483	1240.6	-1.4588	2.1654e-05	0.086149	0.0027766	0.24344	4.1078	350.44	411.91	27.397	6.2914	10.747	319.66	25.823	7.6350e-07	0.011944
15.400	0.015706	75.795	0.013193	-43.599	-43.392	-2.3619	5.2698	7.4860	1238.5	-1.4491	2.1402e-05	0.086773	0.0027600	0.25407	3.9359	350.96	412.78	27.259	6.2948	10.762	320.54	25.602	7.7037e-07	0.012051
15.500	0.016475	75.708	0.013209	-42.850	-42.633	-2.3134	5.2797	7.5242	1236.3	-1.4393	2.1155e-05	0.087383	0.0027435	0.26504	3.7730	351.48	413.64	27.124	6.2980	10.778	321.42	25.384	7.7717e-07	0.012156
15.600	0.017272	75.620	0.013224	-42.098	-41.870	-2.2651	5.2895	7.5629	1234.1	-1.4295	2.0913e-05	0.087979	0.0027269	0.27635	3.6186	352.00	414.50	26.990	6.3013	10.794	322.29	25.171	7.8392e-07	0.012261
15.700	0.018098	75.533	0.013239	-41.342	-41.103	-2.2167	5.2994	7.6019	1232.0	-1.4197	2.0677e-05	0.088562	0.0027104	0.28800	3.4723	352.52	415.36	26.857	6.3045	10.810	323.15	24.962	7.9061e-07	0.012365
15.800	0.018953	75.444	0.013255	-40.582	-40.331	-2.1685	5.3092	7.6412	1229.8	-1.4098	2.0445e-05	0.089131	0.0026938	0.30000	3.3334	353.04	416.21	26.727	6.3076	10.826	324.01	24.757	7.9725e-07	0.012468
15.900	0.019838	75.355	0.013270	-39.819	-39.556	-2.1203	5.3189	7.6809	1227.6	-1.4000	2.0219e-05	0.089687	0.0026773	0.31235	3.2015	353.55	417.06	26.598	6.3107	10.843	324.86	24.556	8.0384e-07	0.012571
16.000	0.020755	75.266	0.013286	-39.051	-38.776	-2.0721	5.3285	7.7210	1225.5	-1.3901	1.9996e-05	0.090230	0.0026608	0.32507	3.0762	354.06	417.90	26.470	6.3138	10.860	325.71	24.358	8.1039e-07	0.012673
16.100	0.021702	75.176	0.013302	-38.280	-37.991	-2.0241	5.3381	7.7613	1223.3	-1.3802	1.9779e-05	0.090760	0.0026442	0.33816	2.9572	354.56	418.74	26.344	6.3168	10.877	326.54	24.164	8.1689e-07	0.012774
16.200	0.022682	75.086	0.013318	-37.505	-37.203	-1.9760	5.3476	7.8019	1221.1	-1.3703	1.9565e-05	0.091277	0.0026277	0.35163	2.8439	355.06	419.57	26.220	6.3198	10.895	327.38	23.974	8.2335e-07	0.012875
16.300	0.023695	74.995	0.013334	-36.726	-36.410	-1.9281	5.3569	7.8428	1218.9	-1.3604	1.9356e-05	0.091782	0.0026112	0.36547	2.7362	355.56	420.40	26.097	6.3227	10.913	328.20	23.788	8.2977e-07	0.012975
16.400	0.024741	74.904	0.013350	-35.942	-35.612	-1.8801	5.3662	7.8840	1216.7	-1.3505	1.9151e-05	0.092275	0.0025947	0.37970	2.6337	356.06	421.22	25.975	6.3256	10.931	329.02	23.605	8.3616e-07	0.013075
16.500	0.025821	74.813	0.013367	-35.155	-34.810	-1.8323	5.3753	7.9255	1214.5	-1.3407	1.8950e-05	0.092756	0.0025782	0.39432	2.5360	356.55	422.03	25.855	6.3285	10.949	329.84	23.425	8.4251e-07	0.013175
16.600	0.026936	74.721	0.013383	-34.364	-34.004	-1.7844	5.3843	7.9672	1212.3	-1.3308	1.8753e-05	0.093225	0.0025617	0.40935	2.4429	357.04	422.85	25.737	6.3314	10.968	330.64	23.249	8.4884e-07	0.013274
16.700	0.028087	74.628	0.013400	-33.569	-33.193	-1.7367	5.3932	8.0091	1210.1	-1.3209	1.8560e-05	0.093682	0.0025452	0.42478	2.3542	357.53	423.65	25.619	6.3342	10.987	331.44	23.076	8.5513e-07	0.013374
16.800	0.029274	74.535	0.013417	-32.770	-32.377	-1.6889	5.4019	8.0514	1207.8	-1.3110	1.8370e-05	0.094128	0.0025287	0.44062	2.2695	358.01	424.45	25.503	6.3370	11.007	332.24	22.906	8.6140e-07	0.013472
16.900	0.030498	74.441	0.013433	-31.967	-31.557	-1.6412	5.4106	8.0938	1205.6	-1.3012	1.8183e-05	0.094562	0.0025123	0.45689	2.1887	358.49	425.24	25.388	6.3398	11.027	333.03	22.739	8.6763e-07	0.013571
17.000	0.031759	74.347	0.013450	-31.159	-30.732	-1.5936	5.4191	8.1366	1203.3	-1.2913	1.8001e-05	0.094986	0.0024958	0.47357	2.1116	358.97	426.03	25.275	6.3425	11.047	333.81	22.575	8.7385e-07	0.013670
17.100	0.033059	74.252	0.013468	-30.348	-29.903	-1.5459	5.4275	8.1796	1201.1	-1.2814	1.7821e-05	0.095398	0.0024793	0.49069	2.0379	359.44	426.81	25.163	6.3453	11.068	334.58	22.414	8.8005e-07	0.013768
17.200	0.034398	74.157	0.013485	-29.532	-29.069	-1.4984	5.4358	8.2228	1198.8	-1.2716	1.7645e-05	0.095800	0.0024629	0.50825	1.9675	359.91	427.59	25.052	6.3480	11.089	335.35	22.255	8.8622e-07	0.013867
17.300	0.035777	74.062	0.013502	-28.713	-28.230	-1.4508	5.4440	8.2664	1196.5	-1.2617	1.7472e-05	0.096191	0.0024464	0.52625	1.9002	360.38	428.36	24.942	6.3507	11.110	336.11	22.100	8.9238e-07	0.013965
17.400	0.037196	73.965	0.013520	-27.889	-27.386	-1.4033	5.4520	8.3102	1194.2	-1.2518	1.7301e-05	0.096571	0.0024300	0.54471	1.8358	360.84	429.13	24.833	6.3535	11.132	336.87	21.947	8.9851e-07	0.014063
17.500	0.038656	73.869	0.013538	-27.061	-26.538	-1.3558	5.4600	8.3542	1191.9	-1.2420	1.7134e-05	0.096941	0.0024136	0.56362	1.7742	361.30	429.88	24.725	6.3562	11.155	337.62	21.796	9.0464e-07	0.014162
17.600	0.040159	73.771	0.013555	-26.229	-25.685	-1.3083	5.4679	8.3986	1189.6	-1.2321	1.6970e-05	0.097301	0.0023971	0.58300	1.7153	361.75	430.64	24.619	6.3589	11.178	338.37	21.648	9.1075e-07	0.014260
17.700	0.041704	73.674	0.013573	-25.393	-24.826	-1.2609	5.4756	8.4432	1187.3	-1.2222	1.6809e-05	0.097651	0.0023807	0.60285	1.6588	362.20	431.38	24.514	6.3617	11.201	339.10	21.503	9.1684e-07	0.014359
