Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
228.00	0.10000	1.6912	0.59128	147.61	206.74	6.1648	0.65190	0.91426	287.69	4.3915	1.6392e-05	0.020772	0
229.00	0.10000	1.6838	0.59389	148.27	207.66	6.1688	0.65194	0.91428	288.32	4.3579	1.6453e-05	0.020856	0
230.00	0.10000	1.6764	0.59650	148.92	208.57	6.1728	0.65198	0.91429	288.95	4.3247	1.6514e-05	0.020939	0
231.00	0.10000	1.6691	0.59911	149.57	209.49	6.1768	0.65203	0.91431	289.58	4.2919	1.6575e-05	0.021022	0
232.00	0.10000	1.6619	0.60172	150.23	210.40	6.1807	0.65207	0.91433	290.21	4.2594	1.6635e-05	0.021106	0
233.00	0.10000	1.6547	0.60433	150.88	211.31	6.1847	0.65212	0.91435	290.83	4.2272	1.6696e-05	0.021189	0
234.00	0.10000	1.6476	0.60695	151.53	212.23	6.1886	0.65217	0.91437	291.46	4.1954	1.6756e-05	0.021272	0
235.00	0.10000	1.6405	0.60956	152.19	213.14	6.1925	0.65222	0.91440	292.08	4.1640	1.6817e-05	0.021355	0
236.00	0.10000	1.6335	0.61217	152.84	214.06	6.1964	0.65227	0.91443	292.70	4.1329	1.6877e-05	0.021438	0
237.00	0.10000	1.6266	0.61478	153.49	214.97	6.2002	0.65232	0.91445	293.32	4.1021	1.6937e-05	0.021521	0
238.00	0.10000	1.6197	0.61738	154.15	215.89	6.2041	0.65237	0.91448	293.94	4.0716	1.6997e-05	0.021604	0
239.00	0.10000	1.6129	0.61999	154.80	216.80	6.2079	0.65243	0.91452	294.56	4.0414	1.7057e-05	0.021687	0
240.00	0.10000	1.6062	0.62260	155.45	217.71	6.2117	0.65248	0.91455	295.17	4.0116	1.7117e-05	0.021770	0
241.00	0.10000	1.5995	0.62521	156.11	218.63	6.2155	0.65254	0.91459	295.79	3.9821	1.7177e-05	0.021853	0
242.00	0.10000	1.5928	0.62782	156.76	219.54	6.2193	0.65260	0.91462	296.40	3.9529	1.7237e-05	0.021935	0
243.00	0.10000	1.5862	0.63043	157.42	220.46	6.2231	0.65266	0.91466	297.01	3.9240	1.7296e-05	0.022018	0
244.00	0.10000	1.5797	0.63304	158.07	221.37	6.2269	0.65272	0.91470	297.62	3.8953	1.7356e-05	0.022101	0
245.00	0.10000	1.5732	0.63565	158.72	222.29	6.2306	0.65279	0.91475	298.23	3.8670	1.7415e-05	0.022183	0
246.00	0.10000	1.5668	0.63826	159.38	223.20	6.2343	0.65285	0.91479	298.84	3.8389	1.7475e-05	0.022266	0
247.00	0.10000	1.5604	0.64087	160.03	224.12	6.2380	0.65292	0.91484	299.44	3.8112	1.7534e-05	0.022348	0
248.00	0.10000	1.5541	0.64348	160.68	225.03	6.2417	0.65299	0.91488	300.05	3.7837	1.7593e-05	0.022430	0
249.00	0.10000	1.5478	0.64609	161.34	225.95	6.2454	0.65306	0.91493	300.65	3.7565	1.7652e-05	0.022513	0
250.00	0.10000	1.5416	0.64869	161.99	226.86	6.2491	0.65313	0.91499	301.25	3.7295	1.7711e-05	0.022595	0
251.00	0.10000	1.5354	0.65130	162.65	227.78	6.2527	0.65320	0.91504	301.85	3.7028	1.7770e-05	0.022677	0
252.00	0.10000	1.5293	0.65391	163.30	228.69	6.2564	0.65328	0.91509	302.45	3.6764	1.7829e-05	0.022759	0
253.00	0.10000	1.5232	0.65652	163.96	229.61	6.2600	0.65335	0.91515	303.05	3.6502	1.7888e-05	0.022841	0
254.00	0.10000	1.5172	0.65913	164.61	230.52	6.2636	0.65343	0.91521	303.64	3.6243	1.7947e-05	0.022923	0
255.00	0.10000	1.5112	0.66173	165.26	231.44	6.2672	0.65351	0.91527	304.24	3.5987	1.8005e-05	0.023005	0
256.00	0.10000	1.5052	0.66434	165.92	232.35	6.2708	0.65359	0.91533	304.83	3.5732	1.8064e-05	0.023087	0
257.00	0.10000	1.4994	0.66695	166.57	233.27	6.2744	0.65367	0.91540	305.43	3.5480	1.8122e-05	0.023169	0
258.00	0.10000	1.4935	0.66956	167.23	234.18	6.2779	0.65375	0.91546	306.02	3.5231	1.8181e-05	0.023251	0
259.00	0.10000	1.4877	0.67217	167.88	235.10	6.2815	0.65384	0.91553	306.61	3.4984	1.8239e-05	0.023333	0
260.00	0.10000	1.4820	0.67477	168.54	236.02	6.2850	0.65393	0.91560	307.19	3.4739	1.8297e-05	0.023415	0
261.00	0.10000	1.4763	0.67738	169.19	236.93	6.2885	0.65401	0.91567	307.78	3.4497	1.8355e-05	0.023496	0
262.00	0.10000	1.4706	0.67999	169.85	237.85	6.2920	0.65410	0.91574	308.37	3.4257	1.8413e-05	0.023578	0
