Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
280.00	0.10000	1.2037	0.83074	207.30	290.37	6.7738	0.74293	1.0413	341.17	2.4569	1.6963e-05	0.024503	0
281.00	0.10000	1.1994	0.83372	208.04	291.41	6.7775	0.74294	1.0413	341.78	2.4387	1.7010e-05	0.024572	0
282.00	0.10000	1.1952	0.83669	208.78	292.45	6.7812	0.74295	1.0413	342.39	2.4206	1.7058e-05	0.024640	0
283.00	0.10000	1.1909	0.83967	209.53	293.49	6.7849	0.74296	1.0413	343.00	2.4027	1.7105e-05	0.024709	0
284.00	0.10000	1.1867	0.84265	210.27	294.54	6.7886	0.74297	1.0413	343.61	2.3849	1.7152e-05	0.024777	0
285.00	0.10000	1.1826	0.84562	211.01	295.58	6.7922	0.74298	1.0413	344.21	2.3673	1.7199e-05	0.024845	0
286.00	0.10000	1.1784	0.84860	211.76	296.62	6.7959	0.74299	1.0413	344.82	2.3498	1.7246e-05	0.024914	0
287.00	0.10000	1.1743	0.85157	212.50	297.66	6.7995	0.74300	1.0413	345.42	2.3325	1.7293e-05	0.024982	0
288.00	0.10000	1.1702	0.85455	213.25	298.70	6.8031	0.74301	1.0413	346.02	2.3153	1.7340e-05	0.025050	0
289.00	0.10000	1.1661	0.85752	213.99	299.74	6.8068	0.74302	1.0413	346.62	2.2983	1.7387e-05	0.025117	0
290.00	0.10000	1.1621	0.86050	214.73	300.78	6.8103	0.74303	1.0413	347.22	2.2814	1.7433e-05	0.025185	0
291.00	0.10000	1.1581	0.86348	215.48	301.82	6.8139	0.74304	1.0413	347.82	2.2646	1.7480e-05	0.025253	0
292.00	0.10000	1.1541	0.86645	216.22	302.87	6.8175	0.74305	1.0413	348.42	2.2480	1.7527e-05	0.025320	0
293.00	0.10000	1.1502	0.86943	216.96	303.91	6.8211	0.74307	1.0413	349.01	2.2315	1.7573e-05	0.025388	0
294.00	0.10000	1.1463	0.87240	217.71	304.95	6.8246	0.74308	1.0413	349.61	2.2151	1.7620e-05	0.025455	0
295.00	0.10000	1.1424	0.87538	218.45	305.99	6.8281	0.74309	1.0413	350.20	2.1989	1.7666e-05	0.025523	0
296.00	0.10000	1.1385	0.87835	219.20	307.03	6.8317	0.74311	1.0413	350.80	2.1828	1.7712e-05	0.025590	0
