Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
254.00	0.10000	1.8939	0.52800	79.098	131.90	3.7921	0.31249	0.52212	296.83	4.9000	1.9693e-05	0.015387	0
255.00	0.10000	1.8865	0.53009	79.412	132.42	3.7941	0.31249	0.52211	297.42	4.8659	1.9760e-05	0.015439	0
256.00	0.10000	1.8791	0.53218	79.725	132.94	3.7962	0.31249	0.52209	298.00	4.8322	1.9826e-05	0.015491	0
257.00	0.10000	1.8717	0.53426	80.038	133.46	3.7982	0.31248	0.52207	298.59	4.7987	1.9893e-05	0.015543	0
258.00	0.10000	1.8644	0.53635	80.351	133.99	3.8002	0.31248	0.52206	299.17	4.7656	1.9959e-05	0.015594	0
259.00	0.10000	1.8572	0.53844	80.665	134.51	3.8022	0.31248	0.52204	299.75	4.7329	2.0026e-05	0.015646	0
260.00	0.10000	1.8500	0.54053	80.978	135.03	3.8043	0.31248	0.52202	300.33	4.7004	2.0092e-05	0.015698	0
261.00	0.10000	1.8429	0.54262	81.291	135.55	3.8063	0.31247	0.52201	300.91	4.6682	2.0158e-05	0.015750	0
262.00	0.10000	1.8359	0.54471	81.604	136.07	3.8083	0.31247	0.52199	301.49	4.6364	2.0224e-05	0.015801	0
263.00	0.10000	1.8288	0.54679	81.917	136.60	3.8102	0.31247	0.52198	302.06	4.6048	2.0291e-05	0.015853	0
264.00	0.10000	1.8219	0.54888	82.230	137.12	3.8122	0.31246	0.52196	302.64	4.5736	2.0356e-05	0.015904	0
265.00	0.10000	1.8150	0.55097	82.544	137.64	3.8142	0.31246	0.52195	303.21	4.5426	2.0422e-05	0.015956	0
266.00	0.10000	1.8081	0.55306	82.857	138.16	3.8162	0.31246	0.52193	303.79	4.5119	2.0488e-05	0.016007	0
267.00	0.10000	1.8013	0.55515	83.170	138.68	3.8181	0.31245	0.52192	304.36	4.4815	2.0554e-05	0.016058	0
268.00	0.10000	1.7946	0.55723	83.483	139.21	3.8201	0.31245	0.52190	304.93	4.4514	2.0619e-05	0.016109	0
269.00	0.10000	1.7879	0.55932	83.796	139.73	3.8220	0.31245	0.52189	305.50	4.4215	2.0685e-05	0.016161	0
270.00	0.10000	1.7812	0.56141	84.109	140.25	3.8239	0.31245	0.52187	306.07	4.3920	2.0750e-05	0.016212	0
271.00	0.10000	1.7746	0.56350	84.422	140.77	3.8259	0.31244	0.52186	306.64	4.3627	2.0816e-05	0.016263	0
272.00	0.10000	1.7681	0.56559	84.735	141.29	3.8278	0.31244	0.52184	307.21	4.3336	2.0881e-05	0.016314	0
